Original Power,Optimized Power,
15764.52654,44389.79394,281.5802544
17264.03435,26482.63636,153.3977275
20067.03273,40597.58802,202.309871
23141.20079,40175.49728,173.6102532
23141.98747,41872.07785,180.9355307
24322.46066,43676.83914,179.5740972
28270.65753,45365.25248,160.4676242
28850.60934,48926.06509,169.5841655
29522.69477,38017.73727,128.7746175
29582.38768,36478.76679,123.3124492
29887.85265,37019.16911,123.8602503
32933.13686,54568.23121,165.6939982
33193.92245,46622.57746,140.4551617
33463.48854,64020.16761,191.3134894
39045.8226,56820.12321,145.5216446
39477.58481,51925.26673,131.5310118
40060.69777,66048.34459,164.8706794
42526.92381,57436.55833,135.0592829
43150.09726,58000.01895,134.4145729
46546.41365,53223.21431,114.3443933
46851.78354,63893.5971,136.3738843
46982.30862,53769.26081,114.4457614
48048.25051,64525.03341,134.2921599
48051.60013,60172.70083,125.225176
49259.61611,46128.6749,93.64399998
54048.86028,78481.27054,145.2043024
54581.18488,64525.30374,118.2189501
56402.35694,59008.29255,104.6202601
57797.89345,70383.57109,121.7753224
59210.74298,74383.26471,125.6246096
59993.86318,70291.11487,117.1638417
60136.87269,61960.82535,103.0330022
61112.65258,75543.43465,123.6134114
62359.50964,70267.69134,112.681597
64213.93306,66858.35993,104.1181512
64658.23506,76068.88233,117.6476318
65112.38821,77108.83482,118.4242153
65577.44906,73469.43289,112.0346002
65677.19427,72492.85925,110.3775215
66370.79135,73438.83195,110.649324
67759.20527,73913.13892,109.0820629
70015.13468,74592.17884,106.5372211
80212.62739,86421.52473,107.7405485
